episode,scenario,steps,decisions,avg_reward,avg_queue,throughput
1,low_traffic,3611,120,-0.714,0.408,756
2,low_traffic,3617,121,-0.402,0.371,819
3,low_traffic,3613,127,-0.658,0.387,757
4,low_traffic,3605,131,-0.481,0.313,871
5,low_traffic,3631,125,-0.496,0.437,797
6,low_traffic,3602,128,-0.737,0.434,850
7,low_traffic,3616,125,-0.734,0.482,852
8,low_traffic,3624,110,-0.72,0.458,829
9,low_traffic,3628,123,-0.641,0.392,837
10,low_traffic,3611,115,-0.624,0.408,790
11,low_traffic,3616,121,-0.804,0.489,877
12,low_traffic,3603,129,-0.657,0.355,838
13,low_traffic,3608,126,-0.86,0.502,861
14,low_traffic,3633,124,-0.51,0.349,868
15,low_traffic,3616,124,-0.385,0.443,905
16,low_traffic,3646,134,-0.796,0.367,866
17,low_traffic,3624,122,-0.815,0.415,896
18,low_traffic,3618,123,-0.612,0.427,848
19,low_traffic,3600,115,-0.292,0.347,799
20,low_traffic,3627,109,-0.237,0.407,879
21,low_traffic,3618,123,-0.43,0.438,943
22,low_traffic,3625,127,-0.972,0.475,959
23,low_traffic,3615,124,-0.624,0.518,808
24,low_traffic,3619,122,-0.726,0.422,1023
25,low_traffic,3627,118,-0.176,0.335,1039
26,low_traffic,3601,119,-0.217,0.464,971
27,low_traffic,3623,136,-0.67,0.433,839
28,low_traffic,3643,122,-1.065,0.384,1026
29,low_traffic,3614,128,-0.588,0.411,923
30,low_traffic,3626,127,-0.62,0.368,937
31,low_traffic,3636,132,-1.185,0.361,1007
32,low_traffic,3654,119,-0.542,0.377,1009
33,low_traffic,3601,130,-0.432,0.396,977
34,low_traffic,3628,110,-0.083,0.421,939
35,low_traffic,3605,134,-0.641,0.403,954
36,low_traffic,3605,139,-0.889,0.543,1029
37,low_traffic,3636,125,-0.779,0.467,878
38,low_traffic,3627,131,-0.747,0.469,990
39,low_traffic,3633,121,-0.549,0.437,861
40,low_traffic,3618,113,-0.394,0.431,894
41,low_traffic,3629,127,-0.737,0.387,824
42,low_traffic,3614,121,-0.904,0.397,985
43,low_traffic,3615,124,-0.571,0.444,950
44,low_traffic,3628,115,-0.212,0.408,927
45,low_traffic,3653,119,-0.376,0.485,943
46,low_traffic,3613,130,-0.528,0.383,851
47,low_traffic,3620,123,-0.515,0.407,859
48,low_traffic,3603,130,-0.697,0.404,1045
49,low_traffic,3610,123,-0.62,0.435,884
50,low_traffic,3640,112,-0.226,0.38,905
